timestamp,symbol,user,followers,text,sentiment,likes,retweets,date,week
2025-03-09,NVDA,user_14,12560,rebound buy beat,0.078,7,3,2025-03-09,2025-03-03
2025-06-21,TSLA,user_59,19281,AI downgrade revenue AI AI cloud,-0.141,3,2,2025-06-21,2025-06-16
2025-05-12,NVDA,user_94,18394,AI miss sell holding revenue,0.135,7,4,2025-05-12,2025-05-12
2025-04-18,GOOGL,user_53,1523,chip rebound sell dividend crash cloud sell,-0.118,7,1,2025-04-18,2025-04-14
2025-01-29,NVDA,user_27,4938,AI beat growth crash buy,0.067,1,4,2025-01-29,2025-01-27
2025-01-29,MSFT,user_47,5029,sell revenue chip,0.527,5,0,2025-01-29,2025-01-27
2025-01-11,AMZN,user_80,1262,upgrade beat dividend,-0.403,4,3,2025-01-11,2025-01-06
2025-06-05,AMZN,user_6,9051,miss upgrade upgrade,0.456,3,3,2025-06-05,2025-06-02
2025-04-19,AAPL,user_55,13298,AI buy sell,0.527,3,2,2025-04-19,2025-04-14
2025-05-08,AAPL,user_97,469,holding chip buy,-0.047,12,3,2025-05-08,2025-05-05
2025-01-04,NVDA,user_44,15658,revenue growth miss downgrade buy beat chip,-0.849,5,1,2025-01-04,2024-12-30
2025-06-24,SPG,user_18,3709,miss holding beat growth beat beat beat,-0.243,10,4,2025-06-24,2025-06-23
2025-05-30,SPG,user_16,5333,dividend holding buy beat,0.519,6,3,2025-05-30,2025-05-26
2025-02-08,AMZN,user_12,10765,cloud buy holding,-0.009,1,0,2025-02-08,2025-02-03
2025-02-02,MSFT,user_20,16215,AI earnings cloud buy buy crash revenue,-0.4,6,2,2025-02-02,2025-01-27
2025-02-03,TSLA,user_45,1390,downgrade chip crash growth,-0.202,2,1,2025-02-03,2025-02-03
2025-02-24,MSFT,user_64,14855,dividend sell miss miss,0.336,4,0,2025-02-24,2025-02-24
2025-04-05,MSFT,user_59,10634,upgrade sell downgrade buy miss,0.219,5,3,2025-04-05,2025-03-31
2025-03-19,NVDA,user_93,14830,beat cloud cloud upgrade rebound buy,-0.096,8,1,2025-03-19,2025-03-17
2025-02-22,NVDA,user_94,5187,beat cloud sell upgrade holding growth miss,-0.147,4,1,2025-02-22,2025-02-17
2025-04-21,GOOGL,user_90,17795,sell miss sell sell sell cloud,-0.157,2,1,2025-04-21,2025-04-21
2025-01-26,MSFT,user_22,641,holding chip sell earnings rebound,-0.369,1,4,2025-01-26,2025-01-20
2025-02-22,SPG,user_97,576,crash chip downgrade,0.646,8,3,2025-02-22,2025-02-17
2025-03-07,SPG,user_47,7905,holding buy beat AI,-0.129,8,0,2025-03-07,2025-03-03
2025-03-24,MSFT,user_29,10745,dividend crash buy dividend buy downgrade,0.487,4,1,2025-03-24,2025-03-24
2025-05-22,NVDA,user_86,1342,crash beat sell miss beat sell,0.609,1,4,2025-05-22,2025-05-19
2025-02-05,NVDA,user_45,18088,cloud upgrade upgrade revenue upgrade holding chip,0.399,9,2,2025-02-05,2025-02-03
2025-04-03,GOOGL,user_77,16621,growth growth revenue,-0.173,4,1,2025-04-03,2025-03-31
2025-04-17,GOOGL,user_9,19192,miss revenue crash earnings crash,0.161,2,2,2025-04-17,2025-04-14
2025-01-09,AAPL,user_24,8675,crash rebound holding revenue holding upgrade,-0.01,4,1,2025-01-09,2025-01-06
2025-04-20,AMZN,user_15,6481,revenue sell AI dividend holding holding beat,-0.361,3,3,2025-04-20,2025-04-14
2025-01-31,MSFT,user_36,15976,sell downgrade dividend AI miss beat miss,0.13,8,3,2025-01-31,2025-01-27
2025-01-12,SPG,user_13,11754,beat rebound downgrade,-0.472,9,6,2025-01-12,2025-01-06
2025-06-20,MSFT,user_91,487,cloud sell buy cloud,0.475,4,1,2025-06-20,2025-06-16
2025-06-23,GOOGL,user_44,10830,AI upgrade rebound dividend,-0.186,4,3,2025-06-23,2025-06-23
2025-05-26,GOOGL,user_71,17266,chip rebound miss,0.08,5,1,2025-05-26,2025-05-26
2025-02-24,AAPL,user_72,9038,chip revenue AI buy dividend,0.113,154,4,2025-02-24,2025-02-24
2025-01-18,AMZN,user_78,9003,buy crash buy holding AI earnings,-0.104,8,2,2025-01-18,2025-01-13
2025-05-04,AAPL,user_76,5844,downgrade growth cloud crash,0.235,6,3,2025-05-04,2025-04-28
